StationTime,Attractiveness,Closeness Centrality,Degree Centerality,Betweenness Centrality
14417,5.8036281,238.324111,2,159
14418,5.8036281,238.2729526,2,159
14424,6.56026628,231.6298924,1,94
14425,6.56026628,231.4929687,1,94
14426,5.54058199,231.3936613,1,94
14427,5.54058199,231.333475,1,94
14428,5.54058199,231.2793074,1,94
14429,4.56254142,231.2311584,1,94
14430,3.93192963,231.2582422,1,94
14431,6.39743163,231.2973633,3,222
14432,8.41552116,231.7276951,3,222
14434,10.9966537,228.4686083,4,534
14435,11.75214319,227.6335237,2,229
14436,12.31376371,226.8149904,3,322
14437,13.96574615,226.0882411,2,205
14438,10.16946305,225.4577898,4,344
14439,8.0069508,224.9793089,3,251
14440,8.49172615,224.4391371,4,332
14441,6.3414241,224.0674869,2,193
14442,6.3414241,223.9380864,2,193
14443,9.47208077,223.786116,2,193
14444,16.20796964,223.6085665,1,112
14445,22.98517513,223.5303243,2,182
14452,5.22011062,318.1882899,4,251
14453,4.07021558,271.6251775,3,371
14455,3.5627217,269.4644902,1,232
14456,3.33894402,268.0320568,1,232
14457,3.33894402,266.825322,1,232
14459,6.03863115,264.4855805,1,232
14461,9.26733638,262.6002454,1,232
14463,10.66155691,258.3992433,3,469
14464,10.66155691,257.6123078,3,469
14466,7.09933817,254.449519,1,232
14467,7.09933817,252.4483253,1,232
14469,6.33098517,250.8609123,1,232
14470,6.33098517,249.3908625,1,232
14471,13.88042879,228.1887421,2,281
14472,13.88042879,227.9780901,2,281
14473,9.86862495,227.8201012,1,234
14474,10.66282603,227.684682,1,234
14475,8.97595927,227.5552815,1,234
14476,8.97595927,227.5071325,1,234
14477,8.38084882,227.478544,1,234
14478,11.13503875,227.4935906,2,290
14479,11.75214319,227.5492629,2,290
14480,35.92468279,231.8495723,9,535
14481,35.63644863,230.2320662,2,198
14482,32.49414503,229.2946649,3,291
14483,99.5496826,226.8134857,13,1340
14486,32.49414503,228.4385151,3,291
14487,32.49414503,229.2630671,3,291
14488,35.63644863,229.9657419,2,198
14489,35.92468279,231.8525817,9,535
14492,23.08993068,227.9088759,1,232
14493,25.70719692,228.1195279,3,642
14495,11.75214319,227.5116465,2,290
14496,1.59481435,329.1421921,1,200
14498,16.72336011,313.4260508,2,214
14499,5.44704252,710.3379897,1,67
14501,4.55516306,253.8551795,3,560
14503,16.26925479,226.667534,2,233
14504,6.66570388,234.9461562,2,248
14505,19.74813501,228.4355058,3,264
14506,2.5716595,282.9702905,7,1371
14507,3.92183172,284.1920719,4,1012
14511,2.06099798,558.3089612,1,210
14512,7.66825983,699.5962441,1,114
14514,9.02390453,245.2425234,2,251
14516,15.80186841,250.2093958,3,353
14541,14.40022567,256.9607913,1,112
14546,16.08639006,253.8867773,8,540
14551,8.32124781,230.5465395,3,291
14553,8.65307092,229.9190975,2,286
14554,7.84709489,229.4075142,2,237
14555,12.81688441,228.7559978,2,237
14556,5.16270888,229.3533465,2,286
14557,5.16270888,229.2585532,2,286
14558,6.3706512,229.1893389,2,286
14559,6.3706512,229.1336666,2,286
14560,6.41351732,229.1156108,2,286
14561,4.70299749,229.8363414,3,300
14571,3.99593671,233.1375586,1,108
14572,3.99593671,232.570303,1,108
14573,3.28290919,231.741237,2,157
14574,3.54890566,231.754779,1,108
14576,3.1266619,233.4159202,1,108
14577,3.1266619,233.6190489,1,108
14582,2.63358937,235.4893374,1,108
14583,2.63358937,234.6452249,1,108
14584,2.63358937,233.8086356,1,108
14587,8.09247501,234.8032138,1,108
14588,8.09247501,236.1152746,1,108
14589,6.10693408,237.5266428,1,108
14596,165.6203066,224.7837035,25,3382
14598,127.7976602,224.0795241,19,2300
14603,16.08639006,253.8596935,8,540
14607,11.22019715,257.1172757,1,112
14636,6.10693408,237.5281475,1,108
14637,6.10693408,236.5606531,1,108
14638,8.09247501,235.7887641,1,108
14639,8.09247501,234.8649048,1,108
14640,3.47866108,234.5158244,1,108
14644,2.63358937,234.2871165,1,108
14645,2.63358937,235.3584322,1,108
14646,2.63358937,236.2025447,1,108
14652,3.1266619,233.8628033,1,108
14653,3.1266619,233.6671979,1,108
14654,3.1266619,233.3888363,1,108
14655,3.7017661,231.8601049,1,108
14656,3.7017661,231.7592929,1,108
14657,3.28290919,231.6780415,1,108
14658,3.99593671,232.4619677,1,108
14668,5.35530103,232.6590778,2,157
14669,5.35530103,231.4448196,2,206
14670,4.70299749,229.9251162,3,300
14671,6.41351732,229.0584338,3,340
14672,6.41351732,229.0433872,2,286
14673,6.3706512,229.0629478,2,286
14674,6.3706512,229.1110968,2,286
14675,6.3706512,229.184825,2,286
14698,10.40311414,320.3218934,3,143
14699,6.35159975,319.2656242,5,165
14700,10.40311414,320.1157554,3,143
14716,12.81688441,228.5634017,2,237
14717,7.84709489,229.4887657,2,237
14718,11.11613236,229.7836784,2,286
14719,8.32124781,230.1297495,3,340
14720,8.32124781,230.4667926,3,340
14722,57.5810976,225.5134621,10,947
14723,77.08669312,224.9386832,9,853
14724,78.64469264,225.0680837,9,1134
14725,57.5810976,225.8174028,9,906
14727,39.51483077,226.6825805,5,432
14732,6.86774397,249.1456034,1,98
14733,9.45950904,248.5994129,1,98
14746,12.06127645,248.1796137,2,237
14747,12.06127645,245.9662634,2,237
14748,10.77539625,245.7149857,2,192
14749,11.17147064,245.7029484,1,49
14753,23.01714488,241.6057677,1,188
14754,23.01714488,240.7736924,1,188
14755,23.01714488,239.810712,1,188
14756,14.10164866,238.8552549,2,269
14757,14.10164866,237.8034997,2,269
